C,rank balanced_accuracy,mean balanced_accuracy,std balanced_accuracy,rank accuracy,mean accuracy,std accuracy
0.008509090418962507,78,0.768707798134382,0.04735279132164669,10,0.9059925851027975,0.01187204733304128
0.00020285169037266958,79,0.7685159272961867,0.06822277984458605,385,0.8171705426356588,0.03232285870383529
0.00812549354404435,80,0.7682457819259445,0.04749423996079805,18,0.9042517694641052,0.012875544148699266
0.00019370696741551137,81,0.7675614367896431,0.06821698847777709,386,0.8136889113582744,0.03244416680410145
0.00040520935732220927,82,0.767400987544948,0.045753420568234164,370,0.8583956858779913,0.0284077790664479
0.00038694218239479256,83,0.7667744976523,0.04620835938595224,371,0.8560734748904617,0.029186720478376012
0.010716428815305356,84,0.7664103202122284,0.049899123885075884,2,0.9071587462082912,0.01556818479259854
0.011222341296996645,85,0.7662569459790995,0.0498793758329872,5,0.9065773508594539,0.015179303941075067
0.01023332328916438,86,0.7662458465280179,0.04993988262007676,4,0.9065790360633637,0.015715332353051312
0.0003694985069098213,87,0.7659733813788854,0.04654787952454729,372,0.853169868554095,0.030711602130030234
0.023475653794383645,88,0.765671049285905,0.047938434934795306,58,0.9025126390293225,0.012931632004633164
0.00018497449617688478,89,0.7656516372589051,0.06848557952842581,387,0.8067239635995958,0.033631728885936345
0.00035284120682735093,90,0.7653470197231119,0.0463128848438288,373,0.8508493427704753,0.0312458225478604
0.0001766356920063604,91,0.764850649222365,0.06863280016875023,388,0.8038220424671385,0.0339803902070544
0.0003369348316900392,92,0.7645580778921788,0.04648142605093205,374,0.8479457364341085,0.03141670666544885
0.014800752840235097,93,0.7638567114829524,0.050956254601304846,13,0.9054145601617796,0.013696971637248746
0.00016867280806501112,94,0.7637399442191161,0.06888603193829625,389,0.7997623862487361,0.03491285562714659
0.016231198324544848,95,0.7636922377987418,0.05108269692647538,15,0.904834850016852,0.014269920625414484
0.015499482401113474,95,0.7636922377987418,0.05108269692647538,15,0.904834850016852,0.014269920625414484
0.016997457865546614,97,0.7636811383476602,0.05152949120989963,14,0.9048365352207617,0.015827852826520605
0.017799891795674552,98,0.7635277641145313,0.051250770698137084,17,0.9042551398719245,0.014911161862736208
0.018640207873669188,99,0.763373443126877,0.05140988381518733,20,0.9036754297269971,0.015612282740037162
0.01952019447994804,99,0.763373443126877,0.05140988381518733,20,0.9036754297269971,0.015612282740037162
0.020441724422678845,101,0.7632100444340666,0.05111373049708324,31,0.9030940343781598,0.014751111083674738
0.021406758923533893,102,0.7630466457412561,0.05081795282996307,58,0.9025126390293225,0.013933820311176598
0.0003217455291766534,103,0.7629891436985945,0.04612292600979627,375,0.8421368385574655,0.03133620035457961
0.022417351791608066,104,0.7628932715081272,0.05054066869892353,79,0.9019312436804853,0.013168583186455543
0.00015380777765887154,105,0.7626331544708437,0.06843779917810278,390,0.7956943040107853,0.034831522780686734
0.00016106889755617234,106,0.7624697557780333,0.06814061265858216,391,0.7951145938658578,0.033940352481981885
0.0003072409730567643,107,0.7623627820428212,0.0461763021536745,376,0.8398146275699359,0.031113529810897055
0.00029339029439330285,108,0.7617272144450169,0.04613885242161509,377,0.8374924165824066,0.03189567173838748
0.00028016401584656355,109,0.7612651982365793,0.04637220320363071,378,0.8357516009437141,0.03326916822537736
0.00026753398893983733,110,0.7603005550334797,0.04668956608462082,379,0.8322682844624201,0.034805233446269124
0.024583917235044002,111,0.759421049285905,0.05104805835401002,72,0.9019329288843949,0.013030895868005361
0.00014687399508716824,112,0.7570205979909275,0.0727982547625002,392,0.7898870913380518,0.03939692623007623
0.00014025279320210803,113,0.7568570710612424,0.07300821131107209,393,0.789304010785305,0.041900792078204484
0.03096121748378713,114,0.7554177813120488,0.05099181016987557,66,0.901932928884395,0.012902819172251946
0.028232624507910385,114,0.7554177813120488,0.05099181016987557,66,0.901932928884395,0.012902819172251946
0.0269598743079786,114,0.7554177813120488,0.05098422906414443,66,0.901932928884395,0.01328776347455771
0.029565460042548165,114,0.7554177813120488,0.05099181016987557,66,0.901932928884395,0.012902819172251946
0.025744500745878432,118,0.7552543826192383,0.05066504335378324,83,0.9013515335355577,0.012455954851650792
0.00013393008060629677,119,0.7523303334656194,0.07270229657887671,394,0.7852443545669026,0.03958768111749346
0.04083366522928125,120,0.7517343830014576,0.042802199479423396,31,0.9030940343781598,0.01279635861802496
0.042761383993501705,120,0.7517343830014576,0.042802199479423396,31,0.9030940343781598,0.01279635861802496
0.03899284963064806,120,0.7517343830014576,0.042802199479423396,31,0.9030940343781598,0.01279635861802496
0.03723501953060141,120,0.7517343830014576,0.042802199479423396,31,0.9030940343781598,0.01279635861802496
0.049107962989973115,124,0.7517242303049014,0.04280874893537602,31,0.9030940343781598,0.01279635861802496
0.046894135164783905,124,0.7517242303049014,0.04280874893537602,31,0.9030940343781598,0.01279635861802496
0.044780108539668545,124,0.7517242303049014,0.04280874893537602,31,0.9030940343781598,0.01279635861802496
0.03555643387382839,127,0.7512511146453822,0.04288984097750609,83,0.9013515335355577,0.01204445497739127
0.03395352025490158,127,0.7512511146453822,0.04288984097750609,83,0.9013515335355577,0.01204445497739127
